year,squad,no,pos,player,date_of_birth_age,caps,club,player_url,club_fa_url,club_fa,club_2,club_country,club_country_flag,goals,captain,player_original,nat_team,club_country_harm,nat_team_alpha3,club_alpha3
1987,Argentina,11,FW,José Alberto Percudani,(1965-03-26)26 March 1965 (aged 22),NA,Independiente,/wiki/Jos%C3%A9_Alberto_Percudani,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,José Alberto Percudani,Argentina,Argentina,ARG,ARG
1987,Argentina,12,MF,Darío Siviski,(1962-12-20)20 December 1962 (aged 24),NA,San Lorenzo,/wiki/Dar%C3%ADo_Siviski,/wiki/Argentine_Football_Association,Argentine Football Association,San Lorenzo,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Darío Siviski,Argentina,Argentina,ARG,ARG
1987,Argentina,13,DF,Oscar Garré,(1956-12-09)9 December 1956 (aged 30),NA,Ferro Carril Oeste,/wiki/Oscar_Garr%C3%A9,/wiki/Argentine_Football_Association,Argentine Football Association,Ferro Carril Oeste,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Oscar Garré,Argentina,Argentina,ARG,ARG
1987,Argentina,14,MF,Ricardo Giusti,(1956-12-11)11 December 1956 (aged 30),NA,Independiente,/wiki/Ricardo_Giusti,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Ricardo Giusti,Argentina,Argentina,ARG,ARG
1987,Argentina,15,GK,Luis Islas,(1965-12-25)25 December 1965 (aged 21),NA,Independiente,/wiki/Luis_Islas,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Luis Islas,Argentina,Argentina,ARG,ARG
1987,Argentina,16,DF,Julio Olarticoechea,(1958-10-08)8 October 1958 (aged 28),NA,Argentinos Juniors,/wiki/Julio_Olarticoechea,/wiki/Argentine_Football_Association,Argentine Football Association,Argentinos Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Julio Olarticoechea,Argentina,Argentina,ARG,ARG
1987,Argentina,17,FW,Pedro Pasculli,(1960-05-17)17 May 1960 (aged 27),NA,Lecce,/wiki/Pedro_Pasculli,/wiki/Italian_Football_Federation,Italian Football Federation,Lecce,Italy,//upload.wikimedia.org/wikipedia/en//0/03/Flag_of_Italy.svg,NA,FALSE,Pedro Pasculli,Argentina,Italy,ARG,ITA
1987,Argentina,18,GK,Sergio Goycoechea,(1963-10-17)17 October 1963 (aged 23),NA,River Plate,/wiki/Sergio_Goycoechea,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Sergio Goycoechea,Argentina,Argentina,ARG,ARG
1987,Argentina,19,DF,Oscar Ruggeri,(1962-01-26)26 January 1962 (aged 25),NA,River Plate,/wiki/Oscar_Ruggeri,/wiki/Argentine_Football_Association,Argentine Football Association,River Plate,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Oscar Ruggeri,Argentina,Argentina,ARG,ARG
1987,Argentina,20,MF,Carlos Tapia,(1962-08-20)20 August 1962 (aged 24),NA,Boca Juniors,/wiki/Carlos_Daniel_Tapia,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Carlos Tapia,Argentina,Argentina,ARG,ARG
1987,Argentina,21,DF,Jorge Theiler,(1964-05-12)12 May 1964 (aged 23),NA,Newell's Old Boys,/wiki/Jorge_Theiler,/wiki/Argentine_Football_Association,Argentine Football Association,Newell's Old Boys,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Jorge Theiler,Argentina,Argentina,ARG,ARG
1987,Argentina,22,GK,Jorge Bartero,(1957-10-28)28 October 1957 (aged 29),NA,Vélez Sársfield,/wiki/Jorge_Bartero,/wiki/Argentine_Football_Association,Argentine Football Association,Vélez Sársfield,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Jorge Bartero,Argentina,Argentina,ARG,ARG
1987,Ecuador,1,GK,Héctor Chiriboga [it],(1966-03-23)23 March 1966 (aged 21),NA,LDU Quito,/w/index.php?title=H%C3%A9ctor_Chiriboga&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,LDU Quito,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Héctor Chiriboga [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,2,DF,Luis Mosquera [it],(1964-12-14)14 December 1964 (aged 22),NA,El Nacional,/w/index.php?title=Luis_Mosquera_(Ecuador_footballer)&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,El Nacional,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Luis Mosquera [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,3,DF,Kléber Fajardo [it],(1965-01-01)1 January 1965 (aged 22),NA,Emelec,/w/index.php?title=Kl%C3%A9ber_Fajardo&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Emelec,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Kléber Fajardo [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,4,DF,Wilson Macías [it],(1965-09-30)30 September 1965 (aged 21),NA,Filanbanco,/w/index.php?title=Wilson_Mac%C3%ADas&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Filanbanco,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Wilson Macías [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,5,MF,Edgar Domínguez [it],(1962-12-23)23 December 1962 (aged 24),NA,Filanbanco,/w/index.php?title=Edgar_Dom%C3%ADnguez&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Filanbanco,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Edgar Domínguez [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,6,DF,Luis Capurro,(1961-05-01)1 May 1961 (aged 26),NA,Filanbanco,/wiki/Luis_Capurro,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Filanbanco,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Luis Capurro,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,7,MF,Jaime Baldeón [it],"(1959-02-25)February 25, 1959 (aged 28)",NA,El Nacional,/w/index.php?title=Jaime_Balde%C3%B3n&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,El Nacional,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Jaime Baldeón [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,8,MF,Alex Aguinaga,(1968-07-09)9 July 1968 (aged 18),NA,Deportivo Quito,/wiki/Alex_Aguinaga,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Deportivo Quito,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Alex Aguinaga,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,9,FW,Lupo Quiñónez,(1957-02-12)12 February 1957 (aged 30),NA,Barcelona,/wiki/Lupo_Qui%C3%B1%C3%B3nez,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Barcelona,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Lupo Quiñónez,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,10,MF,Hamilton Cuvi,(1960-05-08)8 May 1960 (aged 27),NA,Filanbanco,/wiki/Hamilton_Cuvi,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Filanbanco,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Hamilton Cuvi,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,11,FW,Geovanny Mera [it],(1962-08-16)16 August 1962 (aged 24),NA,El Nacional,/w/index.php?title=Geovanny_Mera&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,El Nacional,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Geovanny Mera [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,12,GK,Carlos Morales,(1965-05-12)12 May 1965 (aged 22),NA,Barcelona,/wiki/Carlos_Luis_Morales,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Barcelona,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Carlos Morales,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,13,DF,Pablo Marín [it],(1965-08-22)22 August 1965 (aged 21),NA,Deportivo Cuenca,/w/index.php?title=Pablo_Mar%C3%ADn&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Deportivo Cuenca,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Pablo Marín [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,14,FW,Ney Avilés,(1964-02-16)16 February 1964 (aged 23),NA,Emelec,/wiki/Ney_Avil%C3%A9s,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Emelec,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Ney Avilés,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,15,DF,Urlín Canga [it],(1959-08-29)29 August 1959 (aged 27),NA,Emelec,/w/index.php?title=Url%C3%ADn_Canga&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Emelec,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Urlín Canga [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,16,DF,Juan Carlos Jácome [it],(1960-11-06)6 November 1960 (aged 26),NA,LDU Quito,/w/index.php?title=Juan_Carlos_J%C3%A1come&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,LDU Quito,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Juan Carlos Jácome [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,17,MF,Pietro Marsetti,(1964-11-21)21 November 1964 (aged 22),NA,LDU Quito,/wiki/Pietro_Marsetti,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,LDU Quito,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Pietro Marsetti,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,18,MF,Galo Vásquez,(1956-12-03)3 December 1956 (aged 30),NA,Barcelona,/wiki/Galo_V%C3%A1squez,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Barcelona,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Galo Vásquez,Ecuador,Ecuador,ECU,ECU
1987,Ecuador,19,MF,José Jacinto Vega [it],(1958-10-28)28 October 1958 (aged 28),NA,Barcelona,/w/index.php?title=Jos%C3%A9_Jacinto_Vega&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Barcelona,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,José Jacinto Vega [it],Ecuador,Ecuador,ECU,ECU
1987,Ecuador,20,GK,Carlos Enríquez [it],(1966-05-22)22 May 1966 (aged 21),NA,Deportivo Quito,/w/index.php?title=Carlos_Milton_Enr%C3%ADquez&action=edit&redlink=1,/wiki/Ecuadorian_Football_Federation,Ecuadorian Football Federation,Deportivo Quito,Ecuador,//upload.wikimedia.org/wikipedia/commons//e/e8/Flag_of_Ecuador.svg,NA,FALSE,Carlos Enríquez [it],Ecuador,Ecuador,ECU,ECU
1987,Peru,1,GK,César Chávez-Riva,(1964-11-22)22 November 1964 (aged 22),NA,Universitario,/wiki/C%C3%A9sar_Ch%C3%A1vez-Riva,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,César Chávez-Riva,Peru,Peru,PER,PER
1987,Peru,2,DF,Percy Olivares,(1968-05-06)6 May 1968 (aged 19),NA,Sporting Cristal,/wiki/Percy_Olivares,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Percy Olivares,Peru,Peru,PER,PER
1987,Peru,3,DF,Martín Duffoo [it],(1963-01-02)2 January 1963 (aged 24),NA,Juventud La Palma,/w/index.php?title=Mart%C3%ADn_Duffoo&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Juventud La Palma,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Martín Duffoo [it],Peru,Peru,PER,PER
1987,Peru,4,DF,Leonardo Rojas [it],(1962-10-09)9 October 1962 (aged 24),NA,Universitario,/w/index.php?title=Leonardo_Rojas&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Leonardo Rojas [it],Peru,Peru,PER,PER
1987,Peru,5,DF,Pedro Requena [it],(1961-10-15)15 October 1961 (aged 25),NA,Universitario,/w/index.php?title=Pedro_Requena&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Pedro Requena [it],Peru,Peru,PER,PER
1987,Peru,6,MF,Javier Chirinos,(1960-05-08)8 May 1960 (aged 27),NA,Universitario,/wiki/Javier_Chirinos,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Javier Chirinos,Peru,Peru,PER,PER
1987,Peru,7,MF,César Loyola [it],(1965-09-13)13 September 1965 (aged 21),NA,Sporting Cristal,/w/index.php?title=C%C3%A9sar_Loyola&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,César Loyola [it],Peru,Peru,PER,PER
1987,Peru,8,MF,Eduardo Malásquez,(1957-10-13)13 October 1957 (aged 29),NA,Universitario,/wiki/Eduardo_Mal%C3%A1squez,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Eduardo Malásquez,Peru,Peru,PER,PER
1987,Peru,9,FW,Franco Navarro,(1961-11-10)10 November 1961 (aged 25),NA,Independiente,/wiki/Franco_Navarro,/wiki/Argentine_Football_Association,Argentine Football Association,Independiente,Argentina,//upload.wikimedia.org/wikipedia/commons//1/1a/Flag_of_Argentina.svg,NA,FALSE,Franco Navarro,Peru,Argentina,PER,ARG
1987,Peru,10,MF,Julio César Uribe,(1958-05-09)9 May 1958 (aged 29),NA,América de Cali,/wiki/Julio_C%C3%A9sar_Uribe,/wiki/Colombian_Football_Federation,Colombian Football Federation,América de Cali,Colombia,//upload.wikimedia.org/wikipedia/commons//2/21/Flag_of_Colombia.svg,NA,FALSE,Julio César Uribe,Peru,Colombia,PER,COL
1987,Peru,11,FW,Jorge Hirano,(1956-08-14)14 August 1956 (aged 30),NA,Bolívar,/wiki/Jorge_Hirano,/wiki/Bolivian_Football_Federation,Bolivian Football Federation,Bolívar,Bolivia,//upload.wikimedia.org/wikipedia/commons//d/de/Flag_of_Bolivia_%28state%29.svg,NA,FALSE,Jorge Hirano,Peru,Bolivia,PER,BOL
1987,Peru,12,GK,José González Ganoza,(1954-07-10)10 July 1954 (aged 32),NA,Alianza Lima,/wiki/Jos%C3%A9_Gonz%C3%A1lez_Ganoza,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,José González Ganoza,Peru,Peru,PER,PER
1987,Peru,13,DF,Jorge Arteaga,(1966-12-29)29 December 1966 (aged 20),NA,Sporting Cristal,"/wiki/Jorge_Arteaga_(footballer,_born_1966)",/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Sporting Cristal,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Jorge Arteaga,Peru,Peru,PER,PER
1987,Peru,14,DF,Juan Reynoso,(1969-12-28)28 December 1969 (aged 17),NA,Alianza Lima,/wiki/Juan_Reynoso_Guzm%C3%A1n,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Juan Reynoso,Peru,Peru,PER,PER
1987,Peru,15,MF,Jorge Cordero,(1962-01-02)2 January 1962 (aged 25),NA,Unión Huaral,/wiki/Jorge_Cordero_(footballer),/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Unión Huaral,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Jorge Cordero,Peru,Peru,PER,PER
1987,Peru,16,DF,Jorge Olaechea,(1956-08-27)27 August 1956 (aged 30),NA,Deportivo Cali,/wiki/Jorge_Olaechea,/wiki/Colombian_Football_Federation,Colombian Football Federation,Deportivo Cali,Colombia,//upload.wikimedia.org/wikipedia/commons//2/21/Flag_of_Colombia.svg,NA,FALSE,Jorge Olaechea,Peru,Colombia,PER,COL
1987,Peru,17,MF,Luis Reyna,(1959-05-06)6 May 1959 (aged 28),NA,Universitario,/wiki/Luis_Reyna,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Universitario,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Luis Reyna,Peru,Peru,PER,PER
1987,Peru,18,DF,Cedric Vásquez,(1959-06-30)30 June 1959 (aged 27),NA,San Agustín,/wiki/Cedric_V%C3%A1squez,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,San Agustín,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Cedric Vásquez,Peru,Peru,PER,PER
1987,Peru,19,FW,Eugenio La Rosa,(1962-12-20)20 December 1962 (aged 24),NA,Alianza Lima,/wiki/Eugenio_La_Rosa,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,Alianza Lima,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Eugenio La Rosa,Peru,Peru,PER,PER
1987,Peru,20,MF,Roberto Martínez,(1967-12-03)3 December 1967 (aged 19),NA,San Agustín,/wiki/Roberto_Mart%C3%ADnez_Vera-Tudela,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,San Agustín,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,Roberto Martínez,Peru,Peru,PER,PER
1987,Peru,21,MF,José del Solar,(1967-11-28)28 November 1967 (aged 19),NA,San Agustín,/wiki/Jos%C3%A9_del_Solar,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,San Agustín,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,José del Solar,Peru,Peru,PER,PER
1987,Peru,22,FW,José Anselmo Soto,(1965-04-21)21 April 1965 (aged 22),NA,UTC,/w/index.php?title=Jos%C3%A9_Anselmo_Soto&action=edit&redlink=1,/wiki/Peruvian_Football_Federation,Peruvian Football Federation,UTC,Peru,//upload.wikimedia.org/wikipedia/commons//d/df/Flag_of_Peru_%28state%29.svg,NA,FALSE,José Anselmo Soto,Peru,Peru,PER,PER
1987,Brazil,1,GK,Carlos,(1956-03-04)4 March 1956 (aged 31),NA,Corinthians,/wiki/Carlos_Roberto_Gallo,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,Corinthians,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Carlos,Brazil,Brazil,BRA,BRA
1987,Brazil,2,DF,Josimar,(1961-09-19)19 September 1961 (aged 25),NA,Botafogo (RJ),/wiki/Josimar,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,Botafogo (RJ),Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Josimar,Brazil,Brazil,BRA,BRA
1987,Brazil,3,DF,Geraldão,(1963-04-24)24 April 1963 (aged 24),NA,Cruzeiro,/wiki/Geraldo_Dutra_Pereira,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,Cruzeiro,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Geraldão,Brazil,Brazil,BRA,BRA
1987,Brazil,4,DF,Ricardo Rocha,(1962-09-11)11 September 1962 (aged 24),NA,Guarani,/wiki/Ricardo_Roberto_Barreto_da_Rocha,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,Guarani,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Ricardo Rocha,Brazil,Brazil,BRA,BRA
1987,Brazil,5,DF,Douglas,(1963-03-01)1 March 1963 (aged 24),NA,Cruzeiro,/w/index.php?title=William_Douglas_Humia_Menezes&action=edit&redlink=1,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,Cruzeiro,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Douglas,Brazil,Brazil,BRA,BRA
1987,Brazil,6,DF,Nelsinho,(1962-12-31)31 December 1962 (aged 24),NA,São Paulo,/wiki/Nelson_Lu%C3%ADs_Kerchner,/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,São Paulo,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Nelsinho,Brazil,Brazil,BRA,BRA
1987,Brazil,7,FW,Müller,(1966-01-31)31 January 1966 (aged 21),NA,São Paulo,/wiki/M%C3%BCller_(footballer),/wiki/Brazilian_Football_Confederation,Brazilian Football Confederation,São Paulo,Brazil,//upload.wikimedia.org/wikipedia/en//0/05/Flag_of_Brazil.svg,NA,FALSE,Müller,Brazil,Brazil,BRA,BRA
